approach,identity_group,birth_snapshot,last_snapshot,lifespan_snapshots,final_size,observation_ids,observation_count,events
cumulative,c11,4,10,7,28,CUM-C0410=CUM-C0511=CUM-C0611=CUM-C0712=CUM-C0811=CUM-C0913=CUM-C1011,7,CUM-E0053:split@s3->s4;CUM-E0073:continuation@s4->s5;CUM-E0084:continuation@s5->s6;CUM-E0097:continuation@s6->s7;CUM-E0109:continuation@s7->s8;CUM-E0124:continuation@s8->s9;CUM-E0137:continuation@s9->s10
cumulative,c12,9,10,2,24,CUM-C0911=CUM-C1012,2,CUM-E0114:split@s8->s9;CUM-E0138:continuation@s9->s10
cumulative,c13,9,10,2,14,CUM-C0914=CUM-C1013,2,CUM-E0113:split@s8->s9;CUM-E0139:continuation@s9->s10
cumulative,c14,5,10,6,10,CUM-C0512=CUM-C0613=CUM-C0713=CUM-C0813=CUM-C0915=CUM-C1014,6,CUM-E0063:split@s4->s5;CUM-E0085:continuation@s5->s6;CUM-E0098:continuation@s6->s7;CUM-E0111:continuation@s7->s8;CUM-E0125:continuation@s8->s9;CUM-E0140:continuation@s9->s10
cumulative,c15,10,10,1,3,CUM-C1015,1,CUM-E0126:split@s9->s10
interval,c01,4,10,7,130,INT-C0405=INT-C0504=INT-C0606=INT-C0703=INT-C0801=INT-C0907=INT-C1001,7,INT-E0054:split@s3->s4;INT-E0075:continuation@s4->s5;INT-E0090:continuation@s5->s6;INT-E0105:continuation@s6->s7;INT-E0114:merge@s7->s8;INT-E0123:split@s8->s9;INT-E0135:split@s9->s10;INT-E0137:merge@s9->s10
interval,c02,8,10,3,93,INT-C0803=INT-C0903=INT-C1002,3,INT-E0115:merge@s7->s8;INT-E0124:split@s8->s9;INT-E0138:continuation@s9->s10
interval,c03,5,10,6,77,INT-C0508=INT-C0605=INT-C0701=INT-C0804=INT-C0905=INT-C1003,6,INT-E0069:split@s4->s5;INT-E0070:split@s4->s5;INT-E0078:merge@s4->s5;INT-E0089:continuation@s5->s6;INT-E0103:merge@s6->s7;INT-E0116:continuation@s7->s8;INT-E0125:split@s8->s9;INT-E0139:merge@s9->s10
interval,c04,10,10,1,67,INT-C1004,1,INT-E0134:split@s9->s10;INT-E0140:merge@s9->s10
interval,c05,1,10,10,66,INT-C0113=INT-C0207=INT-C0306=INT-C0407=INT-C0505=INT-C0608=INT-C0706=INT-C0805=INT-C0904=INT-C1005,10,INT-E0017:split@s0->s1;INT-E0037:continuation@s1->s2;INT-E0043:split@s2->s3;INT-E0049:merge@s2->s3;INT-E0063:continuation@s3->s4;INT-E0076:continuation@s4->s5;INT-E0091:continuation@s5->s6;INT-E0107:continuation@s6->s7;INT-E0117:merge@s7->s8;INT-E0126:split@s8->s9;INT-E0141:continuation@s9->s10
interval,c06,0,10,11,59,INT-C0009=INT-C0109=INT-C0208=INT-C0309=INT-C0409=INT-C0509=INT-C0609=INT-C0710=INT-C0808=INT-C0908=INT-C1006,11,INT-E0009:birth@s0;INT-E0024:continuation@s0->s1;INT-E0038:continuation@s1->s2;INT-E0052:continuation@s2->s3;INT-E0065:continuation@s3->s4;INT-E0079:continuation@s4->s5;INT-E0092:continuation@s5->s6;INT-E0109:continuation@s6->s7;INT-E0120:continuation@s7->s8;INT-E0130:continuation@s8->s9;INT-E0142:continuation@s9->s10
interval,c07,9,10,2,52,INT-C0906=INT-C1007,2,INT-E0123:split@s8->s9;INT-E0143:continuation@s9->s10
interval,c08,0,10,11,50,INT-C0006=INT-C0106=INT-C0206=INT-C0304=INT-C0403=INT-C0503=INT-C0602=INT-C0702=INT-C0806=INT-C0901=INT-C1008,11,INT-E0006:birth@s0;INT-E0022:merge@s0->s1;INT-E0036:continuation@s1->s2;INT-E0047:continuation@s2->s3;INT-E0061:merge@s3->s4;INT-E0074:continuation@s4->s5;INT-E0086:continuation@s5->s6;INT-E0104:continuation@s6->s7;INT-E0118:continuation@s7->s8;INT-E0128:continuation@s8->s9;INT-E0134:split@s9->s10;INT-E0140:merge@s9->s10
interval,c09,7,10,4,27,INT-C0711=INT-C0809=INT-C0909=INT-C1009,4,INT-E0100:split@s6->s7;INT-E0121:continuation@s7->s8;INT-E0131:continuation@s8->s9;INT-E0144:continuation@s9->s10
interval,c10,9,10,2,27,INT-C0912=INT-C1010,2,INT-E0126:split@s8->s9;INT-E0145:continuation@s9->s10
interval,c11,10,10,1,24,INT-C1011,1,INT-E0135:split@s9->s10
interval,c12,8,10,3,22,INT-C0810=INT-C0913=INT-C1012,3,INT-E0113:split@s7->s8;INT-E0132:continuation@s8->s9;INT-E0146:continuation@s9->s10
interval,c13,10,10,1,20,INT-C1013,1,INT-E0147:birth@s9->s10
interval,c14,7,10,4,19,INT-C0713=INT-C0811=INT-C0915=INT-C1014,4,INT-E0111:continuation@s6->s7;INT-E0122:continuation@s7->s8;INT-E0133:continuation@s8->s9;INT-E0148:continuation@s9->s10
interval,c15,9,10,2,14,INT-C0914=INT-C1015,2,INT-E0127:split@s8->s9;INT-E0149:continuation@s9->s10
overlap,c01,16,19,4,93,OVL-C1602=OVL-C1704=OVL-C1802=OVL-C1901,4,OVL-E0222:split@s15->s16;OVL-E0223:split@s15->s16;OVL-E0225:merge@s15->s16;OVL-E0239:continuation@s16->s17;OVL-E0250:continuation@s17->s18;OVL-E0260:split@s18->s19;OVL-E0262:split@s18->s19;OVL-E0263:merge@s18->s19
overlap,c02,10,19,10,88,OVL-C1008=OVL-C1106=OVL-C1205=OVL-C1301=OVL-C1401=OVL-C1501=OVL-C1604=OVL-C1705=OVL-C1805=OVL-C1902,10,OVL-E0138:split@s9->s10;OVL-E0141:split@s9->s10;OVL-E0147:merge@s9->s10;OVL-E0158:continuation@s10->s11;OVL-E0170:continuation@s11->s12;OVL-E0181:merge@s12->s13;OVL-E0197:merge@s13->s14;OVL-E0208:split@s14->s15;OVL-E0209:split@s14->s15;OVL-E0212:merge@s14->s15;OVL-E0222:split@s15->s16;OVL-E0225:merge@s15->s16;OVL-E0234:split@s16->s17;OVL-E0252:merge@s17->s18;OVL-E0264:merge@s18->s19
overlap,c03,16,19,4,82,OVL-C1601=OVL-C1701=OVL-C1807=OVL-C1903,4,OVL-E0224:continuation@s15->s16;OVL-E0236:continuation@s16->s17;OVL-E0246:split@s17->s18;OVL-E0265:continuation@s18->s19
overlap,c04,14,19,6,79,OVL-C1407=OVL-C1503=OVL-C1603=OVL-C1702=OVL-C1803=OVL-C1904,6,OVL-E0195:split@s13->s14;OVL-E0196:split@s13->s14;OVL-E0202:merge@s13->s14;OVL-E0209:split@s14->s15;OVL-E0210:split@s14->s15;OVL-E0214:merge@s14->s15;OVL-E0218:merge@s14->s15;OVL-E0226:merge@s15->s16;OVL-E0237:continuation@s16->s17;OVL-E0247:split@s17->s18;OVL-E0266:continuation@s18->s19
overlap,c05,0,19,20,65,OVL-C0006=OVL-C0107=OVL-C0206=OVL-C0302=OVL-C0406=OVL-C0504=OVL-C0604=OVL-C0704=OVL-C0803=OVL-C0903=OVL-C1003=OVL-C1103=OVL-C1202=OVL-C1303=OVL-C1402=OVL-C1502=OVL-C1606=OVL-C1703=OVL-C1801=OVL-C1905,20,OVL-E0006:birth@s0;OVL-E0022:continuation@s0->s1;OVL-E0036:merge@s1->s2;OVL-E0047:continuation@s2->s3;OVL-E0066:continuation@s3->s4;OVL-E0078:continuation@s4->s5;OVL-E0091:continuation@s5->s6;OVL-E0102:merge@s6->s7;OVL-E0113:continuation@s7->s8;OVL-E0125:continuation@s8->s9;OVL-E0144:continuation@s9->s10;OVL-E0155:continuation@s10->s11;OVL-E0168:continuation@s11->s12;OVL-E0180:split@s12->s13;OVL-E0198:merge@s13->s14;OVL-E0213:continuation@s14->s15;OVL-E0228:continuation@s15->s16;OVL-E0238:continuation@s16->s17;OVL-E0249:continuation@s17->s18;OVL-E0259:split@s18->s19
overlap,c06,18,19,2,61,OVL-C1806=OVL-C1906,2,OVL-E0246:split@s17->s18;OVL-E0267:continuation@s18->s19
overlap,c07,1,19,19,53,OVL-C0112=OVL-C0213=OVL-C0312=OVL-C0407=OVL-C0506=OVL-C0606=OVL-C0707=OVL-C0807=OVL-C0907=OVL-C1005=OVL-C1110=OVL-C1208=OVL-C1307=OVL-C1406=OVL-C1506=OVL-C1605=OVL-C1706=OVL-C1804=OVL-C1907,19,OVL-E0016:split@s0->s1;OVL-E0043:continuation@s1->s2;OVL-E0055:continuation@s2->s3;OVL-E0059:split@s3->s4;OVL-E0067:merge@s3->s4;OVL-E0074:split@s4->s5;OVL-E0079:merge@s4->s5;OVL-E0082:merge@s4->s5;OVL-E0093:continuation@s5->s6;OVL-E0104:continuation@s6->s7;OVL-E0116:continuation@s7->s8;OVL-E0129:continuation@s8->s9;OVL-E0145:continuation@s9->s10;OVL-E0161:continuation@s10->s11;OVL-E0173:continuation@s11->s12;OVL-E0186:continuation@s12->s13;OVL-E0201:continuation@s13->s14;OVL-E0217:continuation@s14->s15;OVL-E0223:split@s15->s16;OVL-E0227:merge@s15->s16;OVL-E0235:split@s16->s17;OVL-E0251:continuation@s17->s18;OVL-E0261:split@s18->s19
overlap,c08,0,19,20,47,OVL-C0009=OVL-C0109=OVL-C0209=OVL-C0308=OVL-C0408=OVL-C0507=OVL-C0609=OVL-C0709=OVL-C0809=OVL-C0909=OVL-C1009=OVL-C1109=OVL-C1209=OVL-C1308=OVL-C1410=OVL-C1508=OVL-C1608=OVL-C1708=OVL-C1808=OVL-C1908,20,OVL-E0009:birth@s0;OVL-E0024:continuation@s0->s1;OVL-E0039:continuation@s1->s2;OVL-E0051:continuation@s2->s3;OVL-E0068:continuation@s3->s4;OVL-E0080:continuation@s4->s5;OVL-E0096:continuation@s5->s6;OVL-E0106:continuation@s6->s7;OVL-E0118:continuation@s7->s8;OVL-E0131:continuation@s8->s9;OVL-E0148:continuation@s9->s10;OVL-E0160:continuation@s10->s11;OVL-E0174:continuation@s11->s12;OVL-E0187:continuation@s12->s13;OVL-E0204:continuation@s13->s14;OVL-E0219:continuation@s14->s15;OVL-E0230:continuation@s15->s16;OVL-E0241:continuation@s16->s17;OVL-E0253:continuation@s17->s18;OVL-E0268:continuation@s18->s19
overlap,c09,19,19,1,37,OVL-C1909,1,OVL-E0261:split@s18->s19
overlap,c10,14,19,6,34,OVL-C1411=OVL-C1509=OVL-C1609=OVL-C1709=OVL-C1809=OVL-C1910,6,OVL-E0194:split@s13->s14;OVL-E0220:continuation@s14->s15;OVL-E0231:continuation@s15->s16;OVL-E0242:continuation@s16->s17;OVL-E0254:continuation@s17->s18;OVL-E0269:continuation@s18->s19
overlap,c11,19,19,1,34,OVL-C1911,1,OVL-E0259:split@s18->s19
overlap,c12,0,19,20,30,OVL-C0012=OVL-C0111=OVL-C0210=OVL-C0313=OVL-C0410=OVL-C0512=OVL-C0608=OVL-C0708=OVL-C0811=OVL-C0911=OVL-C1012=OVL-C1111=OVL-C1211=OVL-C1309=OVL-C1408=OVL-C1510=OVL-C1607=OVL-C1707=OVL-C1810=OVL-C1912,20,OVL-E0012:birth@s0;OVL-E0026:continuation@s0->s1;OVL-E0040:continuation@s1->s2;OVL-E0056:continuation@s2->s3;OVL-E0069:continuation@s3->s4;OVL-E0083:continuation@s4->s5;OVL-E0095:continuation@s5->s6;OVL-E0105:continuation@s6->s7;OVL-E0110:split@s7->s8;OVL-E0133:continuation@s8->s9;OVL-E0149:continuation@s9->s10;OVL-E0162:continuation@s10->s11;OVL-E0176:continuation@s11->s12;OVL-E0188:continuation@s12->s13;OVL-E0203:continuation@s13->s14;OVL-E0211:split@s14->s15;OVL-E0229:merge@s15->s16;OVL-E0240:continuation@s16->s17;OVL-E0248:split@s17->s18;OVL-E0270:continuation@s18->s19
overlap,c13,17,19,3,26,OVL-C1710=OVL-C1812=OVL-C1913,3,OVL-E0235:split@s16->s17;OVL-E0256:continuation@s17->s18;OVL-E0271:continuation@s18->s19
overlap,c14,15,19,5,22,OVL-C1511=OVL-C1610=OVL-C1711=OVL-C1813=OVL-C1914,5,OVL-E0208:split@s14->s15;OVL-E0232:continuation@s15->s16;OVL-E0243:continuation@s16->s17;OVL-E0257:continuation@s17->s18;OVL-E0272:continuation@s18->s19
overlap,c15,19,19,1,21,OVL-C1915,1,OVL-E0260:split@s18->s19
overlap,c16,18,19,2,19,OVL-C1814=OVL-C1916,2,OVL-E0248:split@s17->s18;OVL-E0273:continuation@s18->s19
overlap,c17,19,19,1,9,OVL-C1917,1,OVL-E0262:split@s18->s19
overlap,c18,18,19,2,4,OVL-C1816=OVL-C1918,2,OVL-E0247:split@s17->s18;OVL-E0274:continuation@s18->s19
